// CHAR_TEX_CONCRETE	'C'
// CHAR_TEX_METAL		'M'
// CHAR_TEX_DIRT		'D'
// CHAR_TEX_VENT		'V'
// CHAR_TEX_GRATE		'G'
// CHAR_TEX_TILE		'T'
// CHAR_TEX_SLOSH		'S'
// CHAR_TEX_WOOD		'W'
// CHAR_TEX_COMPUTER	'P'
// CHAR_TEX_GLASS		'Y'
// CHAR_TEX_FLESH		'F'
// CHAR_TEX_CARPET		'Z'
// CHAR_TEX_GRASS		'U'
// CHAR_TEX_MUD		'I'
// CHAR_TEX_SAND		'O'
// CHAR_TEX_SNOW		'P'
// CHAR_TEX_BRKGLASS	'Y'
// CHAR_TEX_PAPER  	'H'
// CHAR_TEX_GRAVEL  	'R'
// CHAR_TEX_RANDOMTWIGSNAP  	'B'
M po_metlgreydia
W po_wood2
W cuwoodmz
W r_bloodgolv22
M c2_esclst1t
S !sewage
W c2_bm_wot2
D c2_skrap1
W c2_apdoor1
W c2_apindoor1
H c2_apnote1
H c2_apnote2
H c2_apnote3
H c2_apnote4
M c2_backdoor1
M c2_metbsick
Y c2_glasslol
H c2_paperlol
W c2_balkongmain
M c2_basror
M c2_baswall1
M scrollc2_s3
Z c2_bed1S
Z c2_bed1T
Z c2_bedtackeT
W c2_bedwood
M c2_blmetalli
M c2_blurmetal
M c2_blurmetalbig
H c2_books1F
H c2_books2F
H c2_books3F
H c2_books4F
H c2_books5F
M c2_brandsign
M c2_brunn1
M c2_bussh_2
W c2_bussh_3
Y c2_bussh_4
W c2_byra1F
W c2_byra1S
M c2_containerF
M c2_containerS
H c2_deadkid1
H c2_deadkid10
H c2_deadkid11
H c2_deadkid12
H c2_deadkid13
H c2_deadkid14
H c2_deadkid15
H c2_deadkid16
H c2_deadkid2
H c2_deadkid3
H c2_deadkid4
H c2_deadkid5
H c2_deadkid6
H c2_deadkid7
H c2_deadkid8
H c2_deadkid9
M c2_diskhornT
M c2_diskhornT2
M c2_door1
M c2_door2
M c2_door3
W c2_dorrlistg
W c2_dorrlistg_B
M c2_dorrlist_B
M c2_dorrlist_S
M c2_dorrlist_XS
M c2_drkmetal
M c2_element1
M c2_elevator1
M c2_eluttag
M c2_fireext_sign
M c2_flaktihus
Z c2_gardintop
Z c2_gardintop2
Z c2_gardintop3
W c2_golv1
W c2_golv3
W c2_golv4
W c2_grapdoor1
U c2_grass02
M c2_roofblack
M c2_hissF
M c2_hissFsb
M c2_hogbla1
M c2_hogbla1S
M c2_hogbla1Ssb
M c2_hogbla2
M c2_hogbla2sb
W c2_hogdbldoor1
W c2_hogdbldoor2
W c2_hogdbldoor3
W c2_hogdoor1
W c2_hogdoor1b
W c2_hogdoor2
W c2_hogdoor3
W c2_hogdoor4
M c2_hogfence1big
W c2_hogor3sb
M c2_hogskylt1
M c2_hogskylt2
M c2_hogstrm1
W c2_hogtavl1
